Year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,TFR
1986,147.7,289.0,293.5,259.8,197.9,97.3,21.7,6.53
1987,133.7,269.3,279.0,252.2,179.0,92.9,22.4,6.14
1988,118.2,249.1,264.4,236.5,186.1,94.0,19.1,5.83
1989,115.2,246.3,265.6,240.0,177.9,89.7,23.3,5.78
1990,102.4,237.9,252.4,228.3,172.1,89.1,21.5,5.51
1991,98.7,223.3,235.6,203.7,157.7,81.1,17.6,5.08
1992,89.6,209.8,209.3,180.0,131.3,66.2,15.7,4.50
1993,76.8,192.4,188.9,165.4,116.6,58.4,12.6,4.05
1994,73.8,177.9,179.3,139.6,95.6,49.5,11.7,3.63
1995,62.2,162.0,157.0,123.2,83.1,41.8,8.8,3.19
1996,53.7,145.1,144.0,107.2,67.3,31.9,7.4,2.78
1997,47.9,137.2,139.9,102.3,57.8,26.5,6.7,2.59
1998,40.9,121.3,134.0,94.0,54.0,23.1,5.0,2.36
1999,36.9,116.8,129.4,93.8,49.8,19.1,4.8,2.25
2000,34.7,110.1,131.0,90.1,48.1,16.3,3.7,2.17
